matchId,playerId,playerName,club,minutes,goals,assists,yellow,red,points
Inter Milan_vs_Real Madrid,10017,Petar Sučić,Inter Milan,11,0,1,0,0,3
Inter Milan_vs_Real Madrid,10015,Nicolò Barella,Inter Milan,0,1,0,0,0,4
Inter Milan_vs_Real Madrid,10017,Petar Sučić,Inter Milan,0,0,1,0,0,2
Inter Milan_vs_Real Madrid,10022,Lautaro Martínez,Inter Milan,76,1,0,0,0,5
Inter Milan_vs_Real Madrid,10024,Pio Esposito,Inter Milan,0,0,1,0,0,2
Inter Milan_vs_Real Madrid,10021,Luis Henrique,Inter Milan,30,1,0,0,0,5
Inter Milan_vs_Real Madrid,10016,Davide Frattesi,Inter Milan,0,0,1,0,0,2
Inter Milan_vs_Real Madrid,10015,Nicolò Barella,Inter Milan,0,1,0,0,0,4
Inter Milan_vs_Real Madrid,10001,Josep Martínez,Inter Milan,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,10002,Yann Sommer,Inter Milan,90,0,0,0,0,2
Inter Milan_vs_Real Madrid,10003,Raffaele Di Gennaro,Inter Milan,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,10004,Alessandro Bastoni,Inter Milan,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,10005,Yann Bisseck,Inter Milan,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,10006,Manuel Akanji,Inter Milan,18,0,0,0,0,1
Inter Milan_vs_Real Madrid,10007,Stefan de Vrij,Inter Milan,60,0,0,0,0,1
Inter Milan_vs_Real Madrid,10008,Tomás Palacios,Inter Milan,54,0,0,0,0,1
Inter Milan_vs_Real Madrid,10009,Francesco Acerbi,Inter Milan,51,0,0,0,0,1
Inter Milan_vs_Real Madrid,10010,Federico Dimarco,Inter Milan,32,0,0,0,0,1
Inter Milan_vs_Real Madrid,10011,Carlos Augusto,Inter Milan,87,0,0,0,0,1
Inter Milan_vs_Real Madrid,10012,Denzel Dumfries,Inter Milan,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,10013,Matteo Darmian,Inter Milan,2,0,0,0,0,1
Inter Milan_vs_Real Madrid,10014,Hakan Çalhanoğlu,Inter Milan,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,10018,Andy Diouf,Inter Milan,90,0,0,0,0,2
Inter Milan_vs_Real Madrid,10019,Piotr Zieliński,Inter Milan,70,0,0,0,0,1
Inter Milan_vs_Real Madrid,10020,Henrikh Mkhitaryan,Inter Milan,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,10023,Marcus Thuram,Inter Milan,65,0,0,1,0,0
Inter Milan_vs_Real Madrid,10025,Ange-Yoan Bonny,Inter Milan,43,0,0,0,0,1
Inter Milan_vs_Real Madrid,7001,Thibaut Courtois,Real Madrid,81,0,0,0,0,1
Inter Milan_vs_Real Madrid,7002,Andriy Lunin,Real Madrid,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,7003,Dean Huijsen,Real Madrid,42,0,0,1,0,0
Inter Milan_vs_Real Madrid,7004,Éder Militão,Real Madrid,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,7005,Raúl Asencio,Real Madrid,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,7006,Antonio Rüdiger,Real Madrid,47,0,0,1,0,0
Inter Milan_vs_Real Madrid,7007,David Alaba,Real Madrid,90,0,0,0,0,2
Inter Milan_vs_Real Madrid,7008,Álvaro Carreras,Real Madrid,66,0,0,0,0,1
Inter Milan_vs_Real Madrid,7009,Fran García,Real Madrid,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,7010,Ferland Mendy,Real Madrid,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,7011,Trent Alexander-Arnold,Real Madrid,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,7012,Daniel Carvajal,Real Madrid,33,0,0,0,0,1
Inter Milan_vs_Real Madrid,7013,Aurélien Tchouaméni,Real Madrid,19,0,0,0,0,1
Inter Milan_vs_Real Madrid,7014,Federico Valverde,Real Madrid,90,0,0,0,0,2
Inter Milan_vs_Real Madrid,7015,Eduardo Camavinga,Real Madrid,63,0,0,0,0,1
Inter Milan_vs_Real Madrid,7016,Dani Ceballos,Real Madrid,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,7017,Jude Bellingham,Real Madrid,44,0,0,0,0,1
Inter Milan_vs_Real Madrid,7018,Arda Güler,Real Madrid,53,0,0,0,0,1
Inter Milan_vs_Real Madrid,7019,Vinicius Junior,Real Madrid,90,0,0,0,0,2
Inter Milan_vs_Real Madrid,7020,Rodrygo,Real Madrid,90,0,0,0,0,2
Inter Milan_vs_Real Madrid,7021,Franco Mastantuono,Real Madrid,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,7022,Brahim Díaz,Real Madrid,66,0,0,0,0,1
Inter Milan_vs_Real Madrid,7023,Kylian Mbappé,Real Madrid,90,0,0,0,0,2
Inter Milan_vs_Real Madrid,7024,Endrick,Real Madrid,0,0,0,0,0,0
Inter Milan_vs_Real Madrid,7025,Gonzalo García,Real Madrid,0,0,0,0,0,0
matchId,playerId,playerName,club,minutes,goals,assists,yellow,red,points
FC Barcelona_vs_Manchester City FC,6015,Gavi,FC Barcelona,34,0,1,0,0,3
FC Barcelona_vs_Manchester City FC,6024,Robert Lewandowski,FC Barcelona,0,1,0,0,0,4
FC Barcelona_vs_Manchester City FC,6001,Joan García,FC Barcelona,1,0,0,0,0,1
FC Barcelona_vs_Manchester City FC,6002,Marc-André ter Stegen,FC Barcelona,9,0,0,1,0,0
FC Barcelona_vs_Manchester City FC,6003,Wojciech Szczesny,FC Barcelona,90,0,0,0,0,2
FC Barcelona_vs_Manchester City FC,6004,Pau Cubarsí,FC Barcelona,0,0,0,0,0,0
FC Barcelona_vs_Manchester City FC,6005,Ronald Araujo,FC Barcelona,4,0,0,0,0,1
FC Barcelona_vs_Manchester City FC,6006,Eric García,FC Barcelona,69,0,0,0,0,1
FC Barcelona_vs_Manchester City FC,6007,Andreas Christensen,FC Barcelona,60,0,0,0,0,1
FC Barcelona_vs_Manchester City FC,6008,Alejandro Balde,FC Barcelona,22,0,0,0,0,1
FC Barcelona_vs_Manchester City FC,6009,Gerard Martín,FC Barcelona,90,0,0,0,0,2
FC Barcelona_vs_Manchester City FC,6010,Jules Koundé,FC Barcelona,74,0,0,0,0,1
FC Barcelona_vs_Manchester City FC,6011,Marc Casadó,FC Barcelona,90,0,0,0,0,2
FC Barcelona_vs_Manchester City FC,6012,Marc Bernal,FC Barcelona,59,0,0,1,0,0
