id,name,position,clubId
1001,David Raya,GK,1
1002,Kepa Arrizabalaga,GK,1
1003,William Saliba,CB,1
1004,Gabriel Magalhães,CB,1
1005,Piero Hincapié,CB,1
1006,Cristhian Mosquera,CB,1
1007,Myles Lewis-Skelly,LB,1
1008,Riccardo Calafiori,LB,1
1009,Jurriën Timber,RB,1
1010,Ben White,RB,1
1011,Martín Zubimendi,DM,1
1012,Christian Nørgaard,DM,1
1013,Declan Rice,CM,1
1014,Mikel Merino,CM,1
1015,Martin Ødegaard,AM,1
1016,Eberechi Eze,AM,1
1017,Ethan Nwaneri,AM,1
1018,Gabriel Martinelli,LW,1
1019,Leandro Trossard,LW,1
1020,Bukayo Saka,RW,1
1021,Noni Madueke,RW,1
1022,Max Dowman,RW,1
1023,Viktor Gyökeres,ST,1
1024,Kai Havertz,ST,1
1025,Gabriel Jesus,ST,1
2001,Gianluigi Donnarumma,GK,2
2002,James Trafford,GK,2
2003,Stefan Ortega,GK,2
2004,Marcus Bettinelli,GK,2
2005,Josko Gvardiol,CB,2
2006,Rúben Dias,CB,2
2007,Abdukodir Khusanov,CB,2
2008,John Stones,CB,2
2009,Nathan Aké,CB,2
2010,Rayan Aït-Nouri,LB,2
2011,Nico O'Reilly,LB,2
2012,Rico Lewis,RB,2
2013,Matheus Nunes,RB,2
2014,Rodri,DM,2
2015,Nico González,DM,2
2016,Kalvin Phillips,DM,2
2017,Tijjani Reijnders,CM,2
2018,Mateo Kovacic,CM,2
2019,Bernardo Silva,AM,2
2020,Jérémy Doku,LW,2
2021,Savinho,LW,2
2022,Phil Foden,RW,2
2023,Rayan Cherki,RW,2
2024,Oscar Bobb,RW,2
2025,Erling Haaland,ST,2
2026,Omar Marmoush,ST,2
3001,Giorgi Mamardashvili,GK,3
3002,Alisson,GK,3
3003,Freddie Woodman,GK,3
3004,Ibrahima Konaté,CB,3
3005,Giovanni Leoni,CB,3
3006,Virgil van Dijk,CB,3
3007,Joe Gomez,CB,3
3008,Rhys Williams,CB,3
3009,Milos Kerkez,LB,3
3010,Andrew Robertson,LB,3
3011,Jeremie Frimpong,RB,3
3012,Conor Bradley,RB,3
3013,Ryan Gravenberch,DM,3
3014,Stefan Bajcetic,DM,3
